relone_date,gov_date,type,feature,description
2021/04/24,,Enhancement,Developer Platform,"A new Publish to Relativity tool is released, which is only compatible with Relativity 12.0 and above. The deprecated Relativity Services APIs (RSAPI) within the tool have been updated to use the RESTful Kepler Services. (RelativityOne Osier)"
2021/04/24,,Enhancement,ADS,"For instance level applications with no workspace components, Developers can use the Global Application property within their applications, which will prevent installs of the application into workspaces. Applications tagged ""Global"" will be viewable and manageable on the UI. (RelativityOne Osier)"
2021/04/24,,Enhancement,Extensibility Points,"RESTful Kepler API are available for Resource File workflows like Create, Read, Update, Delete and Push Resource Files. Developers can begin the process of deprecating older RSAPI or Relativity Services code from their applications and migrate to the new RESTful way of communicating with the Relativity Platform. (RelativityOne Osier)"
2021/04/24,,Resolved defect,List Page,Pivot contents no longer fail to load and display a SignalR error. (RelativityOne Osier)
2021/04/24,,Resolved defect,List Page,Pie charts no longer extend beyond their container. (RelativityOne Osier)
2021/04/24,,Resolved defect,List Page,"The ""Page Cannot Load"" no longer appears after viewing a document from a saved search that has the ""Email Threading Display"" field select, but doesn't include other required fields, to the saved search list page, where the error would appear. (RelativityOne Osier)"
2021/04/24,,Resolved defect,Legal Hold,Additional logic has been added to handle Microsoft 365 throttling that can occur during target discovery of large SharePoint repositories as part of a preservation case. (RelativityOne Osier)
2021/04/19,,Resolved defect,RelativityOne Mobile,The RelativityOne app for iOS improved performance with the resolution of minor bugs. (3.0.3)
2021/03/27,,Enhancement,Relativity Scripts & Utilities,Track Document Field Edits by Reviewer is now available on RelativityOne as of Ninebark 0. Please see the latest documentation page to read upgrade instructions and a link to download the latest RAP. This RAP supports 10.1 through 12.0. (Ninebark RelativityOne Update 2)
2021/03/27,,Enhancement,Short Message Viewer,"Conversations Display field - If not available, populate with âUntitledâ (Ninebark RelativityOne Update 2)"
2021/03/27,,Enhancement,Short Message Viewer,"Participant Display field - Fall back value includes âemailâ value, then 'account_id'. If neither are available, populate with âUnnamed [id]â, where id is the participant.id field (Ninebark RelativityOne Update 2)"
2021/03/27,,Resolved defect,Discovered Files,OR expressions now function as expected on the Deleted Documents view on the Files tab. (Ninebark RelativityOne Update 2)
2021/03/27,,Resolved defect,Discovery,Fixed a defect that could result in incomplete extracted from Lotus Notes emails. (Ninebark RelativityOne Update 2)
2021/03/27,,Enhancement,Analytics Indexes,Analytics Index are now converted to Aero styles with a simplification of the settings layout and console areas. (Ninebark RelativityOne Update 2)
2021/03/27,,Resolved defect,Analytics Indexes,Saving Analytics Index changes can take ten seconds to complete with no progress feedback. (Ninebark RelativityOne Update 2)
2021/03/27,,Enhancement,Analytics Indexes,Analytics Indexes no longer include the options to continue index builds to completion and remove documents in error. Analytics Index builds will now default to completing past population and will automatically remove documents in error. (Ninebark RelativityOne Update 2)
2021/03/27,,Resolved defect,Name Normalization,"Name normalization now generates a document error when an email segment contains more than 50,000 characters in one of the recipient fields. (Ninebark RelativityOne Update 2)"
2021/03/24,,Enhancement,Connect,"Connect allows you to use a single identity to access all of your RelativityOne workspaces and instances without added cost, taking you from enterprise collaboration amongst your internal teams into the bigger, brighter world of true ecosystem collaboration. Enabling this teamwork across organizations will empower you to work more efficiently with your trusted law firm or service provider, while practicing smarter security and reducing user fees across instances. (Osier Early Access Update)"
2021/03/24,,Resolved defect,Imaging,Certain PDF files will no longer have missing check marks after the file are imaged using a native profile. (Osier Early Access Update)
2021/03/24,,Resolved defect,Legal Hold,The Discover Targets button on the Project Console page is now enabled when you have not enabled auto-discovered targets as part of your Preservation Case setup for Microsoft 365 SharePoint. (Osier Early Access Update)
2021/02/24,,Enhancement,PDF,The PDF profile now supports the following new options: comments and speaker notes for Microsoft PowerPoint documents. These options are available when the user wants to download the resulting PDFs or stored them in Relativity for Review. (Osier Early Access)
2021/02/24,,Enhancement,Transcripts,"The following parts of the Transcripts application received a style update: importing modal, transcripts report pop-up window, right-click modals, and printing pop-up window. Now the application's UI more closely matches the new Aero design patterns. (Osier Early Access)"
2021/02/24,,Enhancement,Relativity Desktop Client,"Different field can be selected as Overlay Identifier for an ""Append/Overlay"" data transfer mode. (Osier Early Access)"
2021/02/24,,Enhancement,ARM,"System admins can restore workspaces directly to Client Domain space. Previously Client domain resource pool, Client and Matter were not visible in drop-down list. (Osier Early Access)"
2021/02/24,,Enhancement,ARM,"A readiness check to ensure that a processing migration agent exists, and is enabled, has been added to support ARM with processing. (Osier Early Access)"
2021/02/24,,Enhancement,ARM,ARM with processing readiness checks have been made more resilient with the addition of retry code. (Osier Early Access)
2021/02/24,,Resolved defect,Discovery,"Fixed an issue with Relativity Text Extraction method where some documents had the ""WasDecrypted"" metadata incorrectly set to True. (Osier Early Access)"
2021/02/24,,Enhancement,Discovery,Extraneous non-critical Lotus Notes services have been automatically disabled to improve NSF stability and general worker performance. (Osier Early Access)
2021/02/24,,Resolved defect,Discovery,"Error messages arising from defective zip files are now less generic, providing more specific information about the problem with the zip file. (Osier Early Access)"
2021/02/24,,Enhancement,Discovery,Delete temp files jobs are now also automatically created after retrying discovery jobs. (Osier Early Access)
2021/02/24,,Resolved defect,Discovery,"A defect that would cause publishing a document to fail, if there had been an error during file identification for that document, has been fixed. (Osier Early Access)"
2021/02/24,,Resolved defect,Processing Administration,"When updating the priority of a job from the Worker Manager Queue, the root job and any newly created sub-jobs will use the new priority designated by the user. There may be some sub-jobs still created with the old priority if the job is already in progress. (Osier Early Access)"
2021/02/24,,Resolved defect,Password Bank,"The Password Bank tab for Processing will now be named ""Password Bank | Processing"" for easier identification. (Osier Early Access)"
2021/02/24,,Resolved defect,Password Bank,"Fixed an issue where when entering multiple passwords into one Password Bank entry, the passwords may not be recognized until each had their own, individual Password Bank entry. (Osier Early Access)"
2021/02/24,,Enhancement,Discovered Files,The Discovered Files tab has been renamed to the Files tab to account for additional workflow utilization beyond Discovery. (Osier Early Access)
2021/02/24,,Enhancement,Discovered Files,"The processing error workflow has been moved to the Files tab. You can now view, retry, ignore, and download or replace files from the Files tab. (Osier Early Access)"
2021/02/24,,Enhancement,Discovered Files,"The Retry Delete mass action has been combined with the Retry Errors mass action to create a single action button for retrying issues that occur during Discovery, Publish, and Deletion. (Osier Early Access)"
2021/02/24,,Enhancement,Discovered Files,The Errored Files view in the Discovered Files tab has been split into Current Errored Files and All Errored Files. These views allow for quick visibility of active and historical processing errors. (Osier Early Access)
2021/02/24,,Enhancement,Discovered Files,"The Error Status field on the Files tab will now let you know whether a files associated errors are resolved, not resolved, or in the process of being resolved. (Osier Early Access)"
2021/02/24,,Enhancement,Discovered Files,The re-written Error Category field on the Files tab will allow you to group similar processing errors together. These new categories have been written in a way that will better explain why errors occurred and what resulted from them. (Osier Early Access)
2021/02/24,,Enhancement,Discovered Files,"The Error Phase field is now a Single Choice field, which will allow for enhanced filtering capabilities when working with processing errors. (Osier Early Access)"
2021/02/24,,Resolved defect,Errors,"Additional processing error messages have been re-written in a clear, user-centered format. (Osier Early Access)"
2021/02/24,,Resolved defect,Processing Sets,The order of Processing Source Locations when creating Processing Data Sources is now displayed based on the order values chosen in the Admin Choices tab. (Osier Early Access)
2021/02/24,,Enhancement,Authentication,"Connect allows you to use a single identity to access all of your RelativityOne workspaces and instances without added cost, taking you from enterprise collaboration amongst your internal teams into the bigger, brighter world of true ecosystem collaboration. Enabling this teamwork across organizations will empower you to work more efficiently with your trusted law firm or service provider, while practicing smarter security and reducing user fees across instances. (Ninebark RelativityOne Update 1)"
2021/02/24,,Enhancement,Redact,"Redact, formerly known as Blackout, is the industry's most powerful smart redaction application for e-discovery, compliance, and adjacent use cases. In RelativityOne, the functionality will be rebranded as Redact and will be available to all customers embedded in the user experience with Aero UI at no additional cost. With Redact, users can automate the application of location-based, term-based, or complex (RegEx, rules, etc.) image and native redactions over millions of pages. (Ninebark RelativityOne Update 1)"
2021/02/24,,Enhancement,Automated Workflows,"The Automated Workflows page now includes a new section that provides the status of the very last run of the workflow, the start time of the last run, and the end time of the last run. The last run status will display as Completed, Completed with Errors, or Failed. (Ninebark RelativityOne Update 1)"
2021/02/24,,Enhancement,Automated Workflows,The Automated Workflows page now displays a status of Ready to Run rather than Pending. The workflow status will also reset each time the workflow completes so it's more apparent the workflow is ready to be run again via your selected trigger or manually. The workflow status is now located at the top of your workflow page rather than the console in the left-hand side. (Ninebark RelativityOne Update 1)
2021/02/24,,Enhancement,Automated Workflows,The Automated Workflows page now display the last run status and last run end time for each action you include in your workflow. (Ninebark RelativityOne Update 1)
2021/02/24,,Resolved defect,Mass Operations,The manage button for the Mass edit popup will now appear for multi-choice field. (Ninebark RelativityOne Update 1)
2021/02/24,,Enhancement,Short Message Viewer,"Google Chat Icon Now supported. If an RSMF contains data from Google Chat, and the 'platform' field's value is such, the Viewer will display the Google Chat icon for that conversation. Imaging will also use the Google Chat icon when imaging. (Ninebark RelativityOne Update 1)"
2021/02/24,,Enhancement,Short Message Viewer,"Empty Scenarios Display for Attachments - When imaging an RSMF document that is missing attachment name, we have changed the title of the attachment from ""Untitled"" to ""Missing."" (Ninebark RelativityOne Update 1)"
2021/02/24,,Enhancement,Short Message Viewer,"Empty Participant Display Scenario - If the display name is missing, we will now show ""Undisclosed Participant"" now in the image (Ninebark RelativityOne Update 1)"
2021/02/24,,Enhancement,Short Message Viewer,"When conversations or timestamps were missing, we now display RSMFs instead of failing the Viewer. Missing conversations are reconstructed from other info in the file. Missing timestamps called out on each event where it's missing, and shown at the top of the associated conversation. (Ninebark RelativityOne Update 1)"
2021/02/24,,Enhancement,Short Message Viewer,"Viewer no longer fails and now displays when any of the following data is missing: Reaction Value, Conversation ID, Event Type, Attachment ID. (Ninebark RelativityOne Update 1)"
2021/01/30,2023/02/01,Enhancement,Collect,You can now collect commercial Slack Enterprise chat data.
2021/01/30,,Enhancement,Core,You can now have up to ten active workflows created and running in all workspaces in your instance of RelativityOne. The previous threshold of 160 total active workflows in your instance has been removed. (Ninebark RelativityOne)
2021/01/30,,Enhancement,Lockbox,"All members of the new ""Security Notifications"" group will receive an email notification when Relativity staff are granted access to a workspace. Members will also receive notifications when they are added or removed from the group. (Ninebark RelativityOne)"
2021/01/30,,Resolved defect,RelativityOne Staging Explorer,"If enabled, by setting the StagingPaneOnlyPerClientDomain instance setting to true, ROSE shows file shares that belong to the client domain they associated with, and not based on additional groups they are in. (Ninebark RelativityOne)"
2021/01/30,,Enhancement,Automated Workflows,"Automated Workflows now supports adding an action to automate running Structured Analytics sets. You can now automate email threading, language identification, near duplicate detection, repeated content identification, and name normalization. (Ninebark RelativityOne)"
2021/01/30,,Enhancement,Structured Analytics,Email threading now considers whitespace in attachment text during duplicate spare analysis. (Ninebark RelativityOne)
2021/01/30,,Enhancement,PDF,"A user on the HTML Viewer that does not have permissions to any of the ""Markup Sets"" will now get error if trying to select ""Include Redactions"" or ""Include Highlights"" when creating a PDF from the HTML viewer. (Ninebark RelativityOne)"
2021/01/30,,Enhancement,PDF,The PDF application was enhanced to provide a more meaningful message when an error occurs while a user is downloading the resulting file. (Ninebark RelativityOne)
2021/01/30,,Enhancement,PDF,The PDF mass operation was updated to better support the download of large files. This includes supporting browser to display download progress and better management of interruptions during the download process. (Ninebark RelativityOne)
2021/01/30,,Enhancement,PDF,"When converting images to searchable PDFs, the OCR timeout is no longer limited to 3600 seconds. This applies for both Mass PDF and on the fly PDF operations. (Ninebark RelativityOne)"
2021/01/30,,Enhancement,PDF,"When hovering the mouse over the PDF icon in the Review interface, clients will now see a tool tip with the text: ""Create PDF"" (Ninebark RelativityOne)"
2021/01/30,,Enhancement,PDF,The PDF application was optimized to provide a better experience when users cancel PDF jobs. This includes UI and error messages enhancements. (Ninebark RelativityOne)
2021/01/30,,Enhancement,PDF,Customers/developers will now receive a message about what properties are incorrectly set to null instead of receiving Null reference exception message when working with the PDF Profile APIs. (Ninebark RelativityOne)
2021/01/30,,Enhancement,PDF,The PDF application was optimized to better handle concurrent jobs. (Ninebark RelativityOne)
2021/01/30,,Enhancement,PDF,The PDF mass operation now supports conversion of native files into PDFs that can be reviewed in Relativity in a new PDF viewer. The new PDF viewer does not support applying redactions directly to the PDFs. Users can also use the PDF mass operation to delete those stored PDFs. (Ninebark RelativityOne)
2021/01/30,,Enhancement,PDF,"The PDF profile now supports the following new options: new page level branding options, defining the resulting paper size when converting natives to PDFs, and the ability to include comments and track changes for MS Word documents. These options are available when the user wants to download the resulting PDFs or stored them in Relativity for Review. (Ninebark RelativityOne)"
2021/01/30,,Enhancement,Imaging,The Image mass operation now supports conversion of PDFs that are stored in Relativity into images for redactions. You can also convert those images back to stored PDFs if needed using the PDF mass operation. (Ninebark RelativityOne)
2021/01/30,,Enhancement,PDF,"RDC supports searchable PDF file export (native documents converted to Searchable PDFs in RelativityOne, can now be exported to local drive). Feature was initially released to AUS market as part of Mayapple. Now it will hit global audience. This seems to be related to PDI-1933. (Ninebark RelativityOne)"
2021/01/30,,Enhancement,Collect,The Verify Connection button has been removed from the Collection Details console page. We will introduce a feature for connection verification during data source setup in a future update. (Ninebark RelativityOne)
2021/01/30,,Enhancement,Collect,"You can now collect from Windows-based computer endpoints (laptops, desktops) supported by X1 Distributed Discovery. This does require X1 DD licenses. (Ninebark RelativityOne)"
2021/01/30,,Resolved defect,Legal Hold,The Custodian Change report can now only be run as a scheduled report. This change ensures long running reports containing a large amount of data will complete as expected. (Ninebark RelativityOne)
2021/01/30,,Enhancement,Publish,"You can now republish your published files as needed. If case requirements change, or you simply need to map additional fields, you can use a mass operation to republish the files in no time. (Ninebark RelativityOne)"
2021/01/30,,Resolved defect,Post-Publish Delete,"When you delete a folder from Review, you will see the Processing deletion warning in the Delete confirmation modal. (Ninebark RelativityOne)"
2021/01/30,,Resolved defect,Post-Publish Delete,You can now delete a folder from Review when the folder contains documents originating from Processing. (Ninebark RelativityOne)
2021/01/30,,Resolved defect,Post-Publish Delete,"You can now filter as expected on the Processing Deletion? field on the Files tab, including within the Deleted Documents view. (Ninebark RelativityOne)"
2021/01/30,,Resolved defect,Production Sets,Producing a production under the Existing Production Numbering setting will no longer get stuck in the Apply Bates stage. (Ninebark RelativityOne)
2021/01/30,,Enhancement,Lockbox,"All members of the new ""Security Notifications"" group will receive an email notification when Relativity staff are granted access to a workspace. Members will also receive notifications when they are added or removed from the group. (Ninebark RelativityOne)"
2020/11/07,,Enhancement,Processing,"A new processing profile option for Word and Excel files called ""Relativity Processing"" is now available for use. Processing is an alternate method for extracting text that does not require the Office application to be used. Instead, we are leveraging our own proprietary handlers to extract the text from these document types. Processing for PowerPoint is also available but requires a toggle to activate it. (Mayapple RelativityOne Update 1)"
2020/11/07,,Resolved defect,Infrastructure,Basic Imaging dates are now formatted according to the regional settings of the worker. (Mayapple RelativityOne Update 1)
2020/11/02,,Enhancement,Field Catalog,"Added four new fields to the Field Catalog to support the new processing error handling workflow. These new fields are, ""Error Category"", ""Error Phase"", ""Error Message"", and ""Error Status"". (Ninebark Early Access)"
2020/11/02,,Enhancement,Errors,"Document processing error information is now saved to the document object under one of these fields, ""Error Category"", ""Error Phase"", ""Error Message"", and ""Error Status"". (Ninebark Early Access)"
2020/11/02,,Resolved defect,Discovery,Processing errors arising from low disk space on workers has been improved to better reflect the actual nature of the problem. (Ninebark Early Access)
2020/11/02,,Resolved defect,Lotus Notes,Resolved an issue where password-protected Lotus Notes could become locked in processing if the correct password was not among the first few listed in the password bank. (Ninebark Early Access)
2020/11/02,,Enhancement,Lotus Notes,Improved processing of larger Lotus Notes NSF files resulting in fewer timeouts and increased processing speed. (Ninebark Early Access)
2020/11/02,,Resolved defect,Publishing,Documents that have no extracted text will no longer occasionally result in a publishing error. (Ninebark Early Access)
2020/11/02,,Resolved defect,OCR,OCR will no longer fail on images that has a space in the file path (Ninebark Early Access)
2020/11/02,,Resolved defect,Imaging,"The creation of the 'ContextContainer' was updated to no longer request an OnBehalfOfTOken each time. It is now created on demand, only when needing to audit. (Ninebark Early Access)"
2020/11/02,,Resolved defect,Discovered Files,"When changing views in the Discovered Files tab, the proper view conditions are now applied to any pivots within the currently displayed dashboard. (Ninebark Early Access)"
2020/11/02,,Enhancement,Discovered Files,The Errored Files view in the Discovered Files tab will be available to display all Discover and Publish file level errors that occur during Processing. This view will simplify how errors are interacted with in Relativity with the addition of singular Error Message and Error Phase fields that will display the most important error at that moment. (Ninebark Early Access)
2020/11/02,,Enhancement,Discovered Files,The individual Discover Error and Text Extraction Error message fields have been removed from the Discovered Files tab. In their place will be displayed a combined Error Phase field which will indicate the phase of which a file has encountered an error in. (Ninebark Early Access)
2020/11/02,,Enhancement,Discovered Files,The Details modal in the Discovered Files tab has received Aero style updates. (Ninebark Early Access)
2020/11/02,,Enhancement,Export Application API,A new RESTful API to export applications from workspaces as RAP files is now available making application development faster. (Ninebark Early Access)
2020/11/02,,Enhancement,Collect,Slack is now a data source option for Relativity Collect. (Ninebark Early Access)
2020/10/24,,Enhancement,Mass Operations,"Fixed defect in Mass Edit form that allowed removing the value of a required field. The Mass Edit form behavior is now consistent with the single object edit form, and will not allow clearing out a required field. If you need to work around this behavior, you can temporarily mark the field as not required, null/clear the field out, then mark the field as required again. (Mayapple RelativityOne)"
2020/10/24,,Enhancement,Collect,"Custodian Targets for Microsoft 365 data sources are now automatically generated on Step 4 of the Collect wizard. When you click the ""Generate Targets"" button on Step 4, Collect will check to see if targets exist for the custodians you've selected for collection. If the targets do not exist, Collect will automatically create them based on the email address contained in the Entity record for each custodian. (Mayapple RelativityOne)"
2020/10/24,,Enhancement,Collect,"You can now turn on email notifications on Step 1 of the Collect wizard. When enabled, Collect will send notification emails to the selected email address when automated target generation completes and when a Collect job completes. (Mayapple RelativityOne)"
2020/10/24,,Enhancement,Field Mapping,Mapping a field to a Processing Source uses a paginated list of Processing Source Fields. This allows environments with a large number of discovered metadata fields to quickly display available Processing Source options. (Mayapple RelativityOne)
2020/10/24,,Enhancement,Processing Administration,Implemented deallocation-based scaling to reduce the time to scale workers in your processing workflow. (Mayapple RelativityOne)
2020/10/24,,Enhancement,Markups & Highlights,"Timestamp information in the Markup History modal display in the Date/Time format, respecting the browsers local time zone. (Mayapple RelativityOne)"
2020/10/24,,Enhancement,Review Interface,"The Production History, Document History, and Batches cards in the Related Items area of the Review Interface are no longer present if the user does not have permission to view the applicable data. Previously, these cards would be present and included no data for the user. (Mayapple RelativityOne)"
2020/10/24,,Enhancement,Review Interface,"The position of the ""Save & Next"" and ""Save"" buttons on the coding layout in the Review Interface have been swapped. The button styling has also been adjusted to better call-out the primary ""Save & Next"" action. (Mayapple RelativityOne)"
2020/10/24,,Enhancement,Review Interface,"Timestamp information in the Markup History modal display in the Date/Time format, respecting the browsers local time zone. (Mayapple RelativityOne)"
2020/10/24,,Enhancement,Transcripts,The Transcripts Application is fully functional with Relativity Review (Aero Viewer). (Mayapple RelativityOne)
2020/10/24,,Enhancement,RelativityOne Staging Explorer,The Staging Explorer now uses download batching to improve download transfers. (Ninebark Early Access)
2020/10/24,,Enhancement,RelativityOne Staging Explorer,"You can now calculate folder size on both Local and Staging, which means you no longer need to use a third-party application to do so. (Ninebark Early Access)"
2020/10/24,,Enhancement,RelativityOne Staging Explorer,"There is a new version of the Staging Explorer application (2.7.2), and you're required to upgrade to it. (Ninebark Early Access)"
2020/09/26,,Enhancement,Automated Workflows,"Automated Workflows has a limit on how many active workflows you can create at both the instance and workspace level. In the workspace, you can have no more than five active Automated Workflows created at any time. In the instance, you can have no more than 160 active Automated Workflows created at any time. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,"You can now select the Send Email action when creating your Automated Workflow. Once you've selected the Send Email action, you are required to enter at least one email address you wish to receive the completion email. The Send Email action can be used multiple times in a single Automated Workflow, if you have different stakeholders to inform after another action completes in the workflow. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,"When editing an active Automated Workflow, you will be prompted to Deactivate the workflow prior to making edits. Selecting Deactivate allows you to make changes to the workflow. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,"When creating an Automated Workflow, you can set the Active toggle to on or off. Setting the Active toggle to on will ensure your automation is active upon saving the workflow. Setting the Active toggle to off will create your workflow and settings; however, the automation will not be available to run. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,"You can cancel an Automated Workflow while it is In Progress. Canceling the workflow will stop any further actions from running, but the action that was In Progress will continue to run. The Canceled status will be reflected on the action when you clicked the Cancel Workflow button. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,Automated Workflows in a workspace can be ARM - Archived and Restored in RelativityOne. (Lanceleaf RelativityOne Update 1)
2020/09/26,,Enhancement,Automated Workflows,"You can set up an Automated Workflow in a workspace template. All automation including your actions, trigger, and settings will be applied to the new workspace when created. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,"You can manually start an Automated Workflow, regardless of the selected trigger, by selecting the Manually Run Workflow button in the Workflow Status section. The workflow must be set to Active in order to manually start. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,"On the Automated Workflows list page, you can mass delete your workflows or export to file the fields that you have included in your view. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,You can delete an Automated Workflow from either the list page or the workflow's page. Clicking the Delete button will delete the workflow and the automation that you have in place. (Lanceleaf RelativityOne Update 1)
2020/09/26,,Enhancement,Automated Workflows,You can access Automated Workflows if you have System Administrator or Workspace Administrator access. The Automated Workflows object permissions can make non-System and Workspace Administrators have access via the object level permissions in the Workspace Details. (Lanceleaf RelativityOne Update 1)
2020/09/26,,Enhancement,Automated Workflows,"When your Automated Workflow is running, the actions included will inform you whether your action is In Progress, Canceled, Completed, Completed with Errors, Failed, or Pending. Each action in the workflow will provide its own status. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,"When your Automated Workflow receives a failure or cancellation on an action or the workflow, the entire workflow will be stopped. If the workflow is canceled, the action that is In Progress will continue to run, but the remaining actions will not. If your Automated Workflow receives a Completed with Error status on an action, the workflow will continue progressing to the next action. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,"In the event your Automated Workflow misses a completion status on an individual action, the Automated Workflow will automatically check-in on the status of the action every 30 minutes to ensure the Automated Workflow continues to progress. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Enhancement,Automated Workflows,Automated Workflows can be included into a repository workspace to perform automation. (Lanceleaf RelativityOne Update 1)
2020/09/26,,Enhancement,Processing Profile,Fields in the Processing Profile layout now span a single column. (Lanceleaf RelativityOne Update 1)
2020/09/26,,Resolved defect,Processing Sets,"When saving a Processing Data Source, clicking Save multiple times will create only a single Data Source. (Lanceleaf RelativityOne Update 1)"
2020/09/26,,Resolved defect,RPC,The export settings file (.exf) on the Relativity Processing Console can now be saved as expected. (Lanceleaf RelativityOne Update 1)
2020/09/26,,Enhancement,Audit,ARM Archives that have the Include Data Grid option selected now contain retry logic when a 401 authentication error is encountered to keep the job progressing. (Lanceleaf RelativityOne Update 1)
2020/09/26,,Enhancement,Persistent Highlight Sets,You can remove terms you previously searched for in the Review Interface. Hover over your recent searches or an individual term to display an 'X' icon that can be used to clear the term or all terms. (Lanceleaf RelativityOne Update 1)
2020/08/27,,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS includes user experience updates. (3.0.2)
2020/08/27,,Resolved defect,RelativityOne Mobile,The RelativityOne app for iOS improved performance with the resolution of minor bugs. (3.0.2)
2020/08/26,,Resolved defect,Save as PDF,Creating searchable PDFs from 400 or more files no longer crashes the OCR process. (Lanceleaf Early Access Update)
2020/08/26,,Resolved defect,Save as PDF,Improved performance on PDF jobs and PDF files compression. This results on PDF jobs completing faster with smaller files size when converting documents that include markups. (Lanceleaf Early Access Update)
2020/08/26,,Enhancement,Collect,"Each target collection's item-level report is now uniquely named, allowing users to easily identify different reports for different targets. (Lanceleaf Early Access Update)"
2020/08/15,,Enhancement,Review Interface,"We have made a number of enhancements to Your recent searches:
Searches now persist across viewer jump-ins for a user's Relativity session from ad hoc list page search jump-ins, saved search jump-ins, and searches from the Viewer document search box
Searches in the Viewer document search box now require searches to be in the dtSearch syntax. Translating keyword syntax to dtSearch syntax is as simple as adding an asterisk to the end of your search term (ex, keyword syntax 'sea' --> dtSearch syntax 'sea*' (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,Review Interface,"As a result of the series of optimizations we've made to conversion and review infrastructure to better support viewing very large documents in the review interface (specifically, the introduction of conversion streaming for natives and images and the enhanced performance profile of Relativity Review), we raised the default values for the instance settings that govern the maximum native file size for the native viewer and the maximum page count for the image viewer:
MaximumNativeSizeForViewerInBytes - default value will be the equivalent of 100mb in bytes (formerly 10mb)
MaximumImageCountForViewer - default value will be 10,000 pages (formerly 1,000 pages) (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,Conceptual Analytics,"Conceptual Analytics Features (Find Similar Documents, Concept Search, Keyword Expansion, Account Categorization) are all fully functional with Relativity Review (Aero Viewer). (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,Find Similar Documents,"Added a ""View Similar Documents"" button to console in the Relativity Review (Aero Viewer)to run Find Similar on the opened document in the viewer with one click. The enabling of the ""View Similar Documents"" button is dependent upon the opened document being part of an active Conceptual Index within the workspace. (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,ARM,"When Include Linked Files is set to TRUE and Include Processing is set to FALSE the following warning will appear on the New Archive Job page: ""Files published with Relativity Processing will be archived as Linked files for Workspace 9999991."" These files will be available only as Repository files on Restore. (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,ARM,"The Missing File list comma-separated values (CSV) file contains the following updates: Repository files display ""DocumentRepositoryFile""; NonRepository display as """"DocumentLinkedFile""; the rest of the Relativity files (internal) display ""NonDocumentRepositoryFile"". (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,ARM,Data Grid migrations won't restart after retry if they are already running. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,ARM,"On the Job Details page there are ""Retry"" buttons next to each migrator that let the user retry each migrator separately in case of failures before the Job ends. (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,ARM,[Document].ProcessingFileId != [File].FileID check in ARM to include those files as non-processing file is not correct and has been removed. ProcessingFieldId is File ID in Invariant Store and isn't related to the FileID in the File table in Relativity. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,ARM,"Upon retry of an Archive/Restore job, if the job failed during or had to restart the Processing Migration portion, it would fail on retry with a false positive Readiness Check. This issue has been resolved so that retries that are submitted for Processing Migration execute their Readiness check correctly and proceed as expected. (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,ARM,"Because there are duplicated documents, there are 3 rows in File table (this is perfectly fine) pointing on the same file due to the fact that ARM during Move job uses """"Move"""" method, the 2nd and the 3rd time ARM cannot find the file because it is already moved. Still update path method, does the path update (and file name update) in case of linked files always to file guide name. (that's why if original linked file was not guide named, it will be moved and renamed). (renaming linked files in case of changing them to repository files which mean copy them into repository is desired behavior because e.g. there can be already a file in repository with exactly same name, and the it would be overwritten or skipped, or cause error) There is also a mismatch in call to methods, so ARM creates batches not including processing files. (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,ARM,After the workspace has been restored with ARM the Workspace Admin Group needs to be created manually and assigned to the Workspace. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Integration Points,"When creating an ECA Integration Point for exporting Saved Search data between workspaces the customer can automatically map the Saved Search fields. There is a new 'Map Saved Search"" button available on the ""Map Fields"" step while creating an Integration Point or Integration Point Profile. (Lanceleaf RelativityOne)"
